1,G2,NA,R3,NA,R1,right,CrB,left ,R2,right,G1,left,CrA,right,R4,left 
2,G2,left,R3,right,R1,right,CrB,left ,R2,right,G1,left,CrA,right,R4,left 
3,R2,right,G1,left,CrA,right,R4,left ,G2,left,R3,right,R1,right,CrB,left 
4,R2,right,G1,left,CrA,right,R4,left ,G2,left,R3,right,R1,right,CrB,left 
5,G2,left,R3,right,R1,right,CrB,left ,R2,right,G1,left,CrA,right,R4,left 
6,G2,left,R3,right,R1,right,CrB,left ,R2,right,G1,left,CrA,right,R4,left 
7,R2,right,G1,left,CrA,right,R4,left ,G2,left,R3,right,R1,right,CrB,left 
8,R2,right,G1,left,CrA,right,R4,left ,G2,left,R3,right,R1,right,CrB,left 
9,G2,right,R3,left ,R1,left,CrA,right,R2,left,G1,right,CrB,left,R4,right
10,G2,right,R3,left ,R1,left,CrA,right,R2,left,G1,right,CrB,left,R4,right
11,R2,left,G1,right,CrB,left,R4,right,G2,right,R3,left,R1,left,CrA,right
12,R2,left,G1,right,CrB,left,R4,right,G2,right,R3,left,R1,left,CrA,right
13,G2,right,R3,left ,R1,left,CrA,right,R2,left,G1,right,CrB,left,R4,right
14,G2,right,R3,left ,R1,left,CrA,right,R2,left,G1,right,CrB,left,R4,right
15,R2,left,G1,right,CrB,left,R4,right,G2,right,R3,left,R1,left,CrA,right
16,R2,left,G1,right,CrB,left,R4,right,G2,right,R3,left,R1,left,CrA,right
